time;ta;rh;ps;psl;winds;windd;cltot;cllow;prec
01-Jan-2010 00:00:00;-10.7;89;980.4;1003.5;1;350;10;2;0
01-Jan-2010 03:00:00;-11.3;89;981.4;1004.7;0;0;10;10;0.3
01-Jan-2010 06:00:00;-13.7;90;982.4;1005.8;0;0;10;10;0
01-Jan-2010 09:00:00;-11.9;84;982.9;1006.3;0;0;12;2;0
01-Jan-2010 12:00:00;-13;85;983.9;1007.3;2;300;12;4;0
01-Jan-2010 15:00:00;-14.7;90;984.3;1007.9;1;310;12;2;0
01-Jan-2010 18:00:00;-17.4;89;984.3;1008.2;1;300;4;0;0
01-Jan-2010 21:00:00;-17.9;86;984.5;1008.4;0;0;12;2;0
02-Jan-2010 00:00:00;-18.8;89;984.8;1008.7;1;320;4;0;0
02-Jan-2010 03:00:00;-18.6;90;984.6;1008.5;1;300;10;10;0
02-Jan-2010 06:00:00;-17.6;100;985.4;1009.3;1;300;13;13;0
02-Jan-2010 09:00:00;-16.5;90;985.4;1009.2;1;320;10;0;0
02-Jan-2010 12:00:00;-16.6;87;985;1008.8;1;320;10;2;0
02-Jan-2010 15:00:00;-17.7;87;984.8;1008.7;0;0;10;4;0.2
02-Jan-2010 18:00:00;-16.5;87;984.7;1008.5;1;340;10;10;0
02-Jan-2010 21:00:00;-15.5;89;984;1007.8;2;340;10;10;0
03-Jan-2010 00:00:00;-17.5;89;983.8;1007.7;2;320;10;0;0
03-Jan-2010 03:00:00;-18.5;88;983.8;1007.7;2;340;10;10;0
03-Jan-2010 06:00:00;-19.7;87;984.3;1008.4;2;320;12;2;0
03-Jan-2010 09:00:00;-20.5;86;984.6;1008.7;2;320;4;0;0
03-Jan-2010 12:00:00;-20.3;86;985;1009.1;3;320;4;0;0
03-Jan-2010 15:00:00;-21.1;86;986;1010.2;2;320;12;0;0
03-Jan-2010 18:00:00;-22;85;986.6;1010.9;2;310;12;0;0
03-Jan-2010 21:00:00;-23.6;85;987;1011.5;1;310;12;0;0
04-Jan-2010 00:00:00;-23.7;84;987.8;1012.4;0;0;12;0;0
04-Jan-2010 03:00:00;-22.4;84;988;1012.5;0;0;12;4;0
04-Jan-2010 06:00:00;-20.6;84;988.5;1012.8;1;180;12;8;0
04-Jan-2010 09:00:00;-18.3;84;988.9;1013;1;180;2;0;0
04-Jan-2010 12:00:00;-16;82;989.3;1013.2;2;190;4;0;0
04-Jan-2010 15:00:00;-15.5;84;989.8;1013.7;2;200;12;3;0
04-Jan-2010 18:00:00;-15.3;84;990.5;1014.4;2;190;12;2;0.3
04-Jan-2010 21:00:00;-14.7;85;991.8;1015.5;1;180;12;0;0
05-Jan-2010 00:00:00;-12.1;88;993.3;1016.9;2;170;10;4;0
05-Jan-2010 03:00:00;-11.1;87;994;1017.4;2;190;10;4;0
05-Jan-2010 06:00:00;-12;84;995.5;1019.1;2;200;12;3;0
05-Jan-2010 09:00:00;-10.2;76;996.8;1020.2;2;190;12;0;0
05-Jan-2010 12:00:00;-10.3;75;997.5;1021.1;2;170;12;0;0
05-Jan-2010 15:00:00;-13.5;80;998.7;1022.6;2;160;12;0;0
05-Jan-2010 18:00:00;-14.5;84;999.6;1023.5;2;190;12;2;0
05-Jan-2010 21:00:00;-14.5;83;1000.4;1024.3;1;190;10;3;0
06-Jan-2010 00:00:00;-14.4;83;1001.1;1025;2;140;10;2;0
06-Jan-2010 03:00:00;-14.6;82;1001.5;1025.4;2;160;10;4;0
06-Jan-2010 06:00:00;-15.3;78;1002.6;1026.8;2;160;10;10;0
06-Jan-2010 09:00:00;-14.5;82;1003.9;1027.9;2;190;10;10;0
06-Jan-2010 12:00:00;-13.5;80;1004.7;1028.7;2;180;10;4;0
06-Jan-2010 15:00:00;-14.2;84;1005.2;1029.2;2;140;12;4;0.2
06-Jan-2010 18:00:00;-14.9;85;1005;1029;2;140;12;3;0
06-Jan-2010 21:00:00;-16.6;82;1004.7;1028.9;2;130;12;3;0
07-Jan-2010 00:00:00;-15.4;86;1004;1028.2;3;130;12;4;0
07-Jan-2010 03:00:00;-14.6;86;1002.2;1026.1;1;120;10;10;0
07-Jan-2010 06:00:00;-12.1;78;1000.5;1024.2;5;130;10;10;0
07-Jan-2010 09:00:00;-11.3;76;999.1;1022.8;5;110;10;10;0
07-Jan-2010 12:00:00;-10.1;81;996.7;1020.1;5;110;10;10;0
07-Jan-2010 15:00:00;-9.6;82;995.9;1019.3;5;140;10;10;1.8
07-Jan-2010 18:00:00;-10.2;80;995.9;1019.3;5;140;10;10;1.1
07-Jan-2010 21:00:00;-9.9;81;995.9;1019.3;5;160;10;10;0
08-Jan-2010 00:00:00;-9.6;82;996.4;1019.8;4;160;10;10;0
